Parent,Child,Conversion,Child Vendor Name,Child Description,Parent Description,Child QSU,Child SU,Parent QSU,Parent SU
087711B,087711BEA,100,CORNING LIFE SCIENCES DL,CELL SCRAPER 25CM,CELL SCRAPER 25CM 100/CS,00001,EA,00100,CS
09740100,09740100EA,100,THERMO SCI ROCHESTER,SYR FLTR PES 0.2UM 13MM ST 1EA,SYRINGE FLTR PES 0.2UM 13MM ST,00001,EA,00100,CS
11381C,11381CEA,100,DWK LIFE SCIENCES LLC,STIRRING RODS 5X200MM,STIRRING RODS 5X200MM 100/PK,00001,EA,00100,PK
11381D,11381DEA,100,DWK LIFE SCIENCES LLC,STIRRING RODS 6X250MM 1EA,STIRRING RODS 6X250MM 100/PK,00001,EA,00100,PK
12565475,12565475EA,100,THERMO SCI ROCHESTER,TAPE ALUMINUM SEALING 1/EA,TAPE ALUMINUM SEALING 100/CS,00001,EA,00100,CS
128970012B,128970012BP,100,ECO PARK S PTE LTD,FB BOUFFANT CAP 21 BLU 20PK,FB BOUFFANT CAP 21 BLUE,00020,PK,02000,CS
13681500,13681500EA,100,THERMO FISHER SCIENTIFIC (CHINA) CO LTD,PIPET BASIN NS PVC 50ML 1/EA,PIPET BASIN NS PVC 50ML 100/CS,00001,EA,00100,CS
14126AA,14126AAEA,100,PLASTICOID CORPORATION,STOPPER RUBBER 3/8 LONG,STOPPER RUBBER 3/8 LONG 100/PK,00001,EA,00100,PK
14126BB,14126BBEA,100,PLASTICOID CORPORATION,STOPPER RUBBER 7/16 LNG,STOPPER RUBBER 7/16 LNG 100/PK,00001,EA,00100,PK
14126DD,14126DDEA,100,PLASTICOID CORPORATION,STOPPER RUBBER 1/2 LONG,STOPPER RUBBER 1/2 LONG 100/PK,00001,EA,00100,PK
14222432,14222432EA,100,CORNING AXYGEN,RESRVR 25ML IND WRP STER 1/EA,RESRVR 25ML IND WRP STER 100CS,00001,EA,00100,CS
1424110A,1424110AEA,100,BEL ART PRODUCTS,2OZ PS SCOOP STR 1EA,2OZ PS SCOOP STR 100/CS,00001,EA,00100,CS
1424110B,1424110BEA,100,BEL ART PRODUCTS,4OZ PS SCOOP STR 1/EA,4OZ PS SCOOP STR 100/CS,00001,EA,00100,CS
1424110C,1424110CEA,100,BEL ART PRODUCTS,8OZ PS SCOOP STR 1/EA,8OZ PS SCOOP STR 100/CS,00001,EA,00100,CS
1424595,1424595EA,100,CORNING LIFE SCIENCES PLASTIC,SPATULA TAP BLD SPOON 01/EA,SPATULA TAP BLD SPOON 100/CS,00001,EA,00100,CS
1424596,1424596EA,100,CORNING LIFE SCIENCES PLASTIC,SPATULA SM SPOON 001/EA,SPATULA SM SPOON 100/CS,00001,EA,00100,CS
1424597,1424597EA,100,CORNING LIFE SCIENCES PLASTIC,SPATULA RD END SPOON 1/EA,SPATULA RD END SPOON 100/CS,00001,EA,00100,CS
1424598,1424598EA,100,CORNING LIFE SCIENCES PLASTIC,SPATULA V-SCOOP SPOON 1/EA,SPATULA V-SCOOP SPOON 100/CS,00001,EA,00100,CS
1424599,1424599EA,100,CORNING LIFE SCIENCES PLASTIC,SPATULA FLAT END SPOON 1/EA,SPATULA FLAT END SPOON 100/CS,00001,EA,00100,CS
1435820,1435820EA,100,BEL ART PRODUCTS,9IN ST PS VSHAPD SPATLA 1EA,9IN ST PS VSHAPD SPATLA 100/CS,00001,EA,00100,CS
14375265,14375265EA,100,HEATHROW SCIENTIFIC LLC,4X4X7 BENCH TOP KEEP BOX 1/EAC,SM BNCH TOP KEEP 4X4X7IN100CS,00001,EA,00100,CS
1441256,1441256EA,100,CURRENT TECH INC,HYPEWIPE REG STRNGTH 1EA,HYPEWIPE REG STRNGTH 100/CS,00001,EA,00100,CS
1451393,1451393EA,100,BEL ART PRODUCTS,STIR BAR DISP 12X4MM,STIR BAR DISP 1/2X1/8 100/CS,00001,EA,00100,CS
14665231,14665231EA,100,THERMO FISHER SCIENTIFIC (CHINA) CO LTD,L CELL SPREADER STRL EA/1,L CELL SPREADER STRL 100PK,00001,EA,00100,PK
14955111B,14955111BEA,100,ZHEJIANG GONGDONG MEDICAL TECH CO LTD,BEAKER TRI-CORNER 1000ML 1EA,BEAKER TRI-CORNER 100ML 100/CS,00001,EA,00100,CS
14955111C,14955111CEA,100,ZHEJIANG GONGDONG MEDICAL TECH CO LTD,BEAKER TRI-CORNER 250ML,BEAKER TRI-CORNER 250ML 100/CS,00001,EA,00100,CS
14955111D,14955111DEA,100,ZHEJIANG GONGDONG MEDICAL TECH CO LTD,BEAKER TRI-CORNER 400ML 1/EA,BEAKER TRI-CORNER 400ML 100/CS,00001,EA,00100,CS
14955116A,14955116AEA,100,ZHEJIANG GONGDONG MEDICAL TECH CO LTD,CNTNR MLTPRP 8OZ TL RD TR 1EA,CNTNR MLTPRP 8OZ TL RD TR C/CS,00001,EA,00100,CS
14955117A,14955117AEA,100,ZHEJIANG GONGDONG MEDICAL TECH CO LTD,CONTNR MULTIPRP 16OZ TR 1/EA,CONTNR MULTIPRP 16OZ TR C/CS,00001,EA,00100,CS
14955118A,14955118AEA,100,ZHEJIANG GONGDONG MEDICAL TECH CO LTD,32OZ TRANS CONT. W/LID 1/EA,32OZ TRANS CONT. W/LID 100/CS,00001,EA,00100,CS
1531528B,1531528BEA,100,DYNALON PRODUCTS,CONNECTR STRAIGH 6-8MM 1EA,CONNECTR STRAIGH 6-8MM 100/CS,00001,EA,00100,CS
1531528C,1531528CEA,100,DYNALON PRODUCTS,CONNECT STRAIGH 8-10MM,CONNECT STRAIGH 8-10MM 100/CS,00001,EA,00100,CS
17111147,17111147EA,100,BRADY WORLDWIDE INC,SORBENT PAD UNIV 15X19IN 1/EAK,SORBENT PAD UNIV 15X19IN 100CS,00001,EA,00100,CS
17380,17380PR,100,THREE M COMPANY,EARPLUG PILLOW PACKS 1PR,EARPLUG PILLOW PACKS 200PR/PK,00001,PR,00200,PK
17988094,17988094EA,100,DUPONT PERSONAL PROTECTION,BT COV ISO PVCSOLE ST LG 1EA,BT COV ISO PVCSOLE ST LG 100/C,00001,EA,00100,CS
17988110,17988110EA,100,DUPONT PERSONAL PROTECTION,SLEEVE ISO CLN STER 1EA,SLEEVE ISO CLN STER 100/CS,00001,EA,00100,CS
19022074,19022074EA,100,MCR SAFETY COMPANY,FCSHLD 8X15.5X40 CL PETG 1EA,FCSHLD 8X15.5X40 CL PETG 100CS,00001,EA,00100,CS
19072077,19072077EA,100,THREE M COMPANY,EAR PLUG DISP W/CORD 1/EA,EAR PLUG DISP W/CORD 100/PK,00001,EA,00100,PK
191202190,191202190EA,100,FOAMTEC INTERNATIONAL LLC,SCRUBPAD DIAMND 360G .078X3X4,SCRUBPAD DIAMND 360 GRIT 100CS,00001,EA,00100,CS
21381093,21381093EA,100,CELLTREAT SCIENTIFIC PRODUCTS LLC,REAGENT RESERVOIR 10ML 1EA,REAGENT RESERVOIR 10ML 100/CS,00001,EA,00100,CS
21385103,21385103EA,100,CELLTREAT SCIENTIFIC PRODUCTS LLC,REAGENT RES IND 25ML 1EA,REAGENT RES IND 25ML 100/CS,00001,EA,00100,CS
FB0129110,FB0129110EA,100,THERMO FISHER SCIENTIFIC (CHINA) CO LTD,BEAKER DIS PP 50ML GRAD,BEAKER DIS PP 50ML GRAD 100/PK,00001,EA,00100,PK
FB0129111,FB0129111EA,100,THERMO FISHER SCIENTIFIC (CHINA) CO LTD,BEAKER DIS PP 150ML GRD,BEAKER DIS PP 150ML GRD 100/PK,00001,EA,00100,PK
FB012917,FB012917EA,100,THERMO FISHER SCIENTIFIC (CHINA) CO LTD,BEAKER DIS PP 100ML GRD,BEAKER DIS PP 100ML GRD 100/PK,00001,EA,00100,PK
FB012918,FB012918EA,100,THERMO FISHER SCIENTIFIC (CHINA) CO LTD,BEAKER DIS PP 15ML GRAD 1/EA,BEAKER DIS PP 15ML GRAD 100/PK,00001,EA,00100,PK
FB012919,FB012919EA,100,THERMO FISHER SCIENTIFIC (CHINA) CO LTD,BEAKER DIS PP 30ML GRAD,BEAKER DIS PP 30ML GRAD 100/PK,00001,EA,00100,PK
FB012927,FB012927EA,100,THERMO FISHER SCIENTIFIC (CHINA) CO LTD,6 WELL TC MULTIDISH 1EA,6 WELL TC MULTIDISH 100/CS,00001,EA,00100,CS
FB012928,FB012928EA,100,THERMO FISHER SCIENTIFIC (CHINA) CO LTD,12 WELL TC MULTIDISH 1EA,12 WELL TC MULTIDISH 100/CS,00001,EA,00100,CS
FB012929,FB012929EA,100,THERMO FISHER SCIENTIFIC (CHINA) CO LTD,24 WELL TC MULTIDISH 1EA,24 WELL TC MULTIDISH 100/CS,00001,EA,00100,CS
FB012931,FB012931EA,100,THERMO FISHER SCIENTIFIC (CHINA) CO LTD,96F WELL TC MULTIDISH 1EA,96F WELL TC MULTIDISH 100/CS,00001,EA,00100,CS
FB012932,FB012932EA,100,THERMO FISHER SCIENTIFIC (CHINA) CO LTD,96U WELL TC MULTIDISH 1EA,96U WELL TC MULTIDISH 100/CS,00001,EA,00100,CS
K8971937100,K89719371EA,100,DWK LIFE SCIENCES LLC,7IN 5MM NMR TUBE,7IN 5MM NMR TUBE 100CS,00001,EA,00100,CS
SLFG05000,SLFG05000EA,100,EMD MILLIPORE CORP,3FLT MLX-FG50 HOSE-HOSE 1EA,3FLT MLX-FG50 HOSE-HOSE 100/PK,00001,EA,00100,PK
SLFH05000,SLFH05000EA,100,EMD MILLIPORE CORP,MILLEX-FH 0.5UM 50MM 1EA,MILLEX-FH 0.5UM 50MM 100/PK,1,EA,100,PK
033111W,033111WEA,96,THERMO SCI VAC BIO,BOTTLE SQUARE PETG 60ML 1/EA,BOTTLE SQUARE PETG 60ML 96/CS,00001,EA,00096,CS
0992316A,0992316AEA,96,THERMO SCI ROCHESTER,BOTTLE MEDIA SQUAR 125ML 1/EA,BOTTLE MEDIA SQUAR 125ML 96/CS,00001,EA,00096,CS
22363597,22363597PK,96,THERMO SCI ROCHESTER,FL LP 10UL FLX LXL 10/PK,FB LP 10UL FLX LYL 10BG 960/PK,00010,PK,00960,PK
FB012920,FB012920PK,96,THERMO FISHER SCIENTIFIC (CHINA) CO LTD,35MM TC DISH 10PK,35MM TC DISH 960/CS,00010,PK,00960,CS
02991409,02991409EA,84,QORPAK,32OZ NAT SSR PP F217 PE 1EA,32OZ NAT SSR PP F217 PE 84CS,00001,EA,00084,CS
07000169,07000169EA,80,GREINER BIO ONE BIOSCIENCES NORTH AMER,96WPT PP DW HLFML VB STCL 1EA,96WPT PP DW HLFML VB STCL 80CS,00001,EA,00080,CS
13681501,13681501EA,80,THERMO FISHER SCIENTIFIC (CHINA) CO LTD,PIPET BASIN STRL PS 50ML,PIPT BASIN STERILE PS 50ML80CS,00001,EA,00080,CS
19305328,19305328EA,80,KIMBERLY CLARK CORPORATION,KLEENEX JR 6X8.4IN WHITE 1EA,KLEENEX JR 6X8.4IN WHITE 80/CS,00001,EA,00080,CS
12565163,12565163EA,75,THERMO SCI CELL CULT PLASTICS,MULTIDISH W/LID 24WELL 1/EA,MULTIDISH W/LID 24WELL 75CS,00001,EA,00075,CS
12565321,12565321EA,75,THERMO SCI CELL CULT PLASTICS,DISH MULTI 12WELL RND 1/EA,MULTIDISH 12WELL ST PS 75/CS,00001,EA,00075,CS
12565322,12565322EA,75,THERMO SCI CELL CULT PLASTICS,MULTIDISH 48WELL ST PS 1EA,MULTIDISH 48WELL ST PS 75/CS,00001,EA,00075,CS
1483211,1483211EA,75,THERMO SCI CELL CULT PLASTICS,MULTIDISH 6 WELL W/LID 1/EA,MULTIDISH 6 WELL W/LID 75/CS,00001,EA,00075,CS
19160275,19160275PK,75,CARDINAL HEALTH CORP,BOUFFANT PRM 24 BLUE 10/PK,BOUFFANT PRM 24 BLUE 750/CS,00010,PK,00750,CS
02891A,02891AEA,72,DYNALON PRODUCTS,JAR WM PP 1OZ/30ML 1/EA,JAR WM PP 1OZ/30ML 72/CS,00001,EA,00072,CS
02911276,02911276EA,72,DWK LIFE SCIENCES LLC,BTL 8/250 WM RD HDPE W/C 1/EA,BTL 8/250 WM RD HDPE W/C 72/CS,00001,EA,00072,CS
02912321,02912321EA,72,THERMO SCI ROCHESTER,BTL HDPE NM W/CAP 4OZ 1EA,BTL HDPE NM W/CAP 4OZ 72/CS,00001,EA,00072,CS
02912700,02912700PK,72,DWK LIFE SCIENCES LLC,VIAL20ML AMB W/TFE RUB LNR 1EA,VIAL20ML AMB W/TFE RUB LNR72CS,00001,EA,00072,CS
02925A,02925AEA,72,THERMO SCI ROCHESTER,BOTTLE NM 1OZ EA,BOTTLE NM 1OZ 72/CS,00001,EA,00072,CS
02983A,02983AEA,72,DWK LIFE SCIENCES LLC,BTL DROP AMB GLASS 30ML,BTL DROP AMB GLASS 30ML 72/CS,00001,EA,00072,CS
033134B,033134BEA,72,THERMO SCI ROCHESTER,BOTTLE SMPLE WM 60ML EA,BOTTLE SMPLE WM 60ML 72/CS,00001,EA,00072,CS
033134C,033134CEA,72,THERMO SCI ROCHESTER,BOTTLE SMPLE WM 125M EA,BOTTLE SMPLE WM 125ML 72/CS,00001,EA,00072,CS
033134D,033134DEA,72,THERMO SCI ROCHESTER,BOTTLE SMPLE WM 250ML EA,BOTTLE SMPLE WM 250ML 72/CS,00001,EA,00072,CS
0331387B,0331387BEA,72,THERMO SCI ROCHESTER,BTL NM HDPE 250ML 1/EA,BTL NM HDPE 250ML 72/CS,00001,EA,00072,CS
0333510D,0333510DEA,72,DWK LIFE SCIENCES LLC,BOTTLE SPEC 95X50 120ML,BOTTLE SPEC 95X50 120ML 72/CS,00001,EA,00072,CS
03338K,03338KEA,72,DWK LIFE SCIENCES LLC,SMPL VL SCRW CP 91/2 DR,SMPL VL SCRW CP 91/2 DR 72/PK,00001,EA,00072,PK
0344821,0344821EA,72,HEATHROW SCIENTIFIC LLC,LATEX BULB 1ML,LATEX BULB 1ML 72/PK,00001,EA,00072,PK
0344822,0344822EA,72,HEATHROW SCIENTIFIC LLC,LATEX BULB 2ML,LATEX BULB 2ML 72/PK,00001,EA,00072,PK
11380B,11380BEA,72,DWK LIFE SCIENCES LLC,STIRRING RODS 150MM,STIRRING RODS 150MM 1/CS,1,EA,72,CS
11380D,11380DEA,72,DWK LIFE SCIENCES LLC,STIRRING RODS 250 MM 1/EA,STIRRING RODS 250 MM 1/CS,1,EA,72,CS
1139231B,1139231BPR,72,NEWELL BRANDS DISTRIBUTION LLC,GLV NEOPR KNIT SZ M 1EA,GLV NEOPR KNIT SZ M 72/CS,00001,PR,00072,CS
142372,142372EA,72,BEL ART PRODUCTS,SCOOP AUTOCLAV PP 75CC 1/EA,SCOOP AUTOCLAV PP 75CC 72/CS,00001,EA,00072,CS
17010917,17010917PR,72,ANSELL,HYFLEX 11754 BP SIZE 6 1PR,HYFLEX 11754 BP SIZE 6 144/CS,00001,PR,00144,CS
17010918,17010918PR,72,ANSELL,HYFLEX 11754 BP SIZE 7 1PR,HYFLEX 11754 BP SIZE 7 144/CS,00001,PR,00144,CS
17010919,17010919PR,72,ANSELL,HYFLEX 11754 BP SIZE 8 1PR,HYFLEX 11754 BP SIZE 8 144/CS,00001,PR,00144,CS
17010920,17010920PR,72,ANSELL,HYFLEX 11754 BP SIZE 9 1PR,HYFLEX 11754 BP SIZE 9 144/CS,00001,PR,00144,CS
17010921,17010921PR,72,ANSELL,HYFLEX 11754 BP SIZE 10 1PR,HYFLEX 11754 BP SIZE 10 144/CS,00001,PR,00144,CS
17010922,17010922PR,72,ANSELL,HYFLEX 11754 BP SIZE 11 1PR,HYFLEX 11754 BP SIZE 11 144/CS,00001,PR,00144,CS
17200396,17200396PR,72,WELLS LAMONT INDUSTRIAL PRODUCTS,GRAIN COWHIDE DRIVER 1PR,GRAIN COWHIDE DRIVER 72/CS,00001,PR,00072,CS
17200397,17200397PR,72,WELLS LAMONT INDUSTRIAL PRODUCTS,GRAIN COWHIDE DRIVER 1PR,GRAIN COWHIDE DRIVER 72/CS,00001,PR,00072,CS
19085465,19085465PR,72,NEWELL BRANDS DISTRIBUTION LLC,GLV TRIONIC TRPL SZ6 1 PR,GLV TRIONIC TRPL SZ6 12PR/DZ,00001,PR,00072,CS
191301174D,191301174DP,72,PROTECTIVE INDUSTRIAL PRODUCTS INC,MAXIFLEX NITRILE GRY SZ L 1PR,MAXIFOAM NITRILE GRY SZL 144CS,00001,PR,00144,CS
19148164,19148164PR,72,PROTECTIVE INDUSTRIAL PRODUCTS INC,GLV MAXDRY NTRL/NYL 12IN XL1PR,GLV MAXDRY NTRLNYL 12 XL 72CS,00001,PR,00072,CS
19148720,19148720PR,72,WELLS LAMONT INDUSTRIAL PRODUCTS,NYLON W POLY COTNG SM 1PR,NYLON W POLY COTNG SM 144/CS,00001,PR,00144,CS
19148721,19148721PR,72,WELLS LAMONT INDUSTRIAL PRODUCTS,NYLON W POLY COTNG MD 1PR,NYLON W POLY COTNG MD 144/CS,00001,PR,00144,CS
19148722,19148722PR,72,WELLS LAMONT INDUSTRIAL PRODUCTS,NYLON W POLY COTNG LG 1PR,NYLON W POLY COTNG LG 144/CS,00001,PR,00144,CS
19148723,19148723PR,72,WELLS LAMONT INDUSTRIAL PRODUCTS,NYLON W POLY COTNG XL 1PR,NYLON W POLY COTNG XL 144/CS,00001,PR,00144,CS
19152011,19152011PR,72,ANSELL,GLV HYFLEX SZ 11 1/PR,11-511 CR GLV BLU SZ 11 144/CS,00001,PR,00144,CS
19270235,19270235PR,72,SHOWA BEST GLOVE,SHOWA ATLAS KV300 M 1 PR,SHOWA ATLAS KV300 M 144/CS,00001,PR,00144,CS
19270236,19270236PR,72,SHOWA BEST GLOVE,SHOWA ATLAS KV300 LG 1 PR,SHOWA ATLAS KV300 LG 144/CS,00001,PR,00144,CS
19270237,19270237PR,72,SHOWA BEST GLOVE,SHOWA ATLAS KV300 XL,SHOWA ATLAS KV300 XL 144/CS,00001,PR,00144,CS
0992316E,0992316EEA,60,THERMO SCI ROCHESTER,BOTTLE MEDIA SQ 250ML 1/EA,BOTTLE MEDIA SQ 250ML 60/CS,00001,EA,00060,CS
12565605,12565605EA,60,THERMO SCI ROCHESTER,PLATE U96DPWLL PP 2ML ST 1/EA,PLATE U96DPWLL PP 2ML ST 60/CS,00001,EA,00060,CS
1482788,1482788EA,60,CARDINAL HEALTH 200 LLC,CONTR PHLEBOTMX RD 2.2QT,CONTR PHLEBOTMX RD 2.2QT 60/CS,00001,EA,00060,CS
19047254,19047254EA,60,THREE M COMPANY,SCOTCH-BRITE 7448 1/EA,SCOTCH-BRITE 7448 60/CS,00001,EA,00060,CS
5001166,5001166EA,60,QORPAK,128OZ NTRL HDP RND110-400 1EA,128OZ NTRL HDP RND110-400 60CS,00001,EA,00060,CS
FB012921,FB012921PK,60,THERMO FISHER SCIENTIFIC (CHINA) CO LTD,60MM TCDISH W/GRIP RING 10PK,60MM TCDISH W/GRIP RING 600/CS,00010,PK,00600,CS
14130C,14130CEA,57,PLASTICOID CORPORATION,RUBBER STOPPER NO1 APPX,RUBBER STOPPER NO1 APPX 57/PK,00001,EA,00057,PK
14135D,14135DEA,54,PLASTICOID CORPORATION,RUB STPR 1 HOLE NO2 APPX,RUB STPR 1 HOLE NO2 APPX 54/PK,00001,EA,00054,PK
14130D,14130DEA,52,PLASTICOID CORPORATION,RUBBER STOPPER NO2 APPX,RUBR STPR SOLID NO2 APPRX 52PK,00001,EA,00052,PK
5001024,5001024EA,52,FRANKLIN PRESS,CLNRM NT PD 4.5IN X5.5IN,CLNRM NT PD 4.5INX5.5IN 52CS,00001,EA,00052,CS
01549765,01549765EA,50,THERMO SCI CELL CULT PLASTICS,BIOLITE 24 WELL MULTIDISH 1EA,BIOLITE 24 WELL MULTIDISH,00001,EA,00050,CS
01816A,01816AEA,50,RD PLASTICS COMPANY INC (DOMESTIC),BG ZIP SEAL PE 4MIL 4X6IN,BG ZIP SEAL PE 4MIL 4X6IN 50PK,00001,EA,00050,PK
01816E,01816EEA,50,RD PLASTICS COMPANY INC (DOMESTIC),BG ZIPSEAL PE 4MIL 9X13IN,BG ZIPSEAL PE 4MIL 9X13IN 50PK,00001,EA,00050,PK
01816F,01816FEA,50,RD PLASTICS COMPANY INC (DOMESTIC),BG ZIPSEAL PE 4MIL 9X26IN,BG ZIPSEAL PE 4MIL 9X26IN 50PK,00001,EA,00050,PK
02991282,02991282EA,50,QORPAK,1 PINT UNL CAN TTLID 1EA,1 PINT UNL CAN TTLID 50CS,00001,EA,00050,CS
0331379F,0331379FEA,50,THERMO SCI ROCHESTER,BTL BLK WM HDPE 1000ML 1EA,BTL BLK WM HDPE 1000ML 50/CS,00001,EA,00050,CS
0334114A,0334114APK,50,CAPLUGS (EVERGREEN),VIAL STANDING STER 50ML 10PK,CENTRIFUGE TUBE 50ML FRSTND,00010,PK,00500,CS
05539200,05539200EA,50,CORNING LIFE SCIENCES PLASTIC,96WL PLT CORNER NOTCH EA,96WL PLT CORNER NOTCH 50/CS,00001,EA,00050,CS
05713386,05713386EA,50,GLOBAL LIFE SCIENCES SOLUTIONS USA LLC,PURADISC 25 AS 0.2 UM 1/EA,PURADISC 25 AS 0.2 UM 50/PK,00001,EA,00050,PK
05713387,05713387EA,50,GLOBAL LIFE SCIENCES SOLUTIONS USA LLC,PURADISC 25 AS 0.45 UM 1/EA,PURADISC 25 AS 0.45 UM 50/PK,00001,EA,00050,PK
07000121,07000121EA,50,GREINER BIO ONE BIOSCIENCES NORTH AMER,96W PLT PPN DW 2ML VB CLR 1/EA,96W PLT PPN DW 2ML VB CLR 50CS,00001,EA,00050,CS
07000159,07000159EA,50,GREINER BIO ONE BIOSCIENCES NORTH AMER,96WPLT PP DW 1ML RB ST CL 1EA,96WPLT PP DW 1ML RB ST CL 50CS,00001,EA,00050,CS
